id	sentiment	review
205	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
37	1	Exceptional in every way. The music, the acting, the script - all perfect.
111	1	The best movie of the year without a doubt. A touching story with brilliant execution.
260	0	The acting was cringe-worthy and the story was nonsensical throughout.
176	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
24	1	This movie was absolutely fantastic! The acting was superb and the plot kept me engaged throughout.
184	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
256	0	Tedious and uninspired. Not a single memorable moment in the entire runtime.
84	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
65	1	A beautiful film that captures the human spirit in the most profound way.
278	0	A complete disaster from start to finish. Save your money and avoid this film.
292	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
113	1	A masterpiece of modern cinema. The director did an incredible job with this one.
41	1	A masterpiece of modern cinema. The director did an incredible job with this one.
82	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
59	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
8	1	The best movie of the year without a doubt. A touching story with brilliant execution.
120	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
186	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
85	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
125	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
257	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
28	1	Surprisingly good film with a gripping narrative and excellent direction.
134	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
180	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
244	0	Tedious and uninspired. Not a single memorable moment in the entire runtime.
86	1	Exceptional in every way. The music, the acting, the script - all perfect.
126	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
194	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
78	1	The best movie of the year without a doubt. A touching story with brilliant execution.
258	0	The acting was cringe-worthy and the story was nonsensical throughout.
290	0	A complete disaster from start to finish. Save your money and avoid this film.
119	1	The best movie of the year without a doubt. A touching story with brilliant execution.
291	0	A complete disaster from start to finish. Save your money and avoid this film.
7	1	A masterpiece of modern cinema. The director did an incredible job with this one.
215	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
44	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
171	0	Terrible film. Boring, predictable, and a complete waste of time. I fell asleep halfway through.
79	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
246	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
252	0	One of the worst movies I have ever seen. The plot made no sense whatsoever.
43	1	An absolutely wonderful film. I was moved to tears by the end. Outstanding work by everyone involved.
199	0	The acting was cringe-worthy and the story was nonsensical throughout.
175	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
21	1	I loved every minute of this film. The story was compelling and the visuals were stunning.
157	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
57	1	A feel-good movie that will leave you smiling. The chemistry between the leads was electric.
95	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
100	1	Surprisingly good film with a gripping narrative and excellent direction.
51	1	One of the best films I have seen in years. Brilliant performances from the entire cast.
58	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
271	0	I walked out after 45 minutes. Absolute garbage with no redeeming qualities at all.
105	1	Surprisingly good film with a gripping narrative and excellent direction.
143	1	Surprisingly good film with a gripping narrative and excellent direction.
91	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
141	1	The screenplay was exceptional and the lead actor delivered one of his best performances ever.
68	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
201	0	This movie was a huge disappointment. Nothing worked - not the story, not the acting.
227	0	This movie was a huge disappointment. Nothing worked - not the story, not the acting.
211	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
233	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
251	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
150	0	I cannot believe how bad this was. Poor acting, weak script, and terrible direction.
212	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
162	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
92	1	This exceeded all my expectations. A truly memorable cinematic experience from start to finish.
155	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
287	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
131	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
179	0	I walked out after 45 minutes. Absolute garbage with no redeeming qualities at all.
222	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
245	0	The acting was cringe-worthy and the story was nonsensical throughout.
241	0	Absolutely awful. I cannot think of a single good thing to say about this movie.
22	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
177	0	The acting was cringe-worthy and the story was nonsensical throughout.
185	0	The worst film I have seen this decade. Laughably bad in every possible way.
96	1	A masterpiece of modern cinema. The director did an incredible job with this one.
198	0	Painfully boring and utterly predictable. The characters were one-dimensional and dull.
288	0	The worst film I have seen this decade. Laughably bad in every possible way.
83	1	I was hooked from the very first scene. An unforgettable journey through an amazing story.
13	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
270	0	Dreadful in every sense of the word. The director clearly had no vision for this project.
254	0	I regret spending money on this. A poorly written, poorly acted, poorly directed film.
45	1	Highly recommend this movie. A perfect blend of drama and action with great character development.
153	0	A complete disaster from start to finish. Save your money and avoid this film.
46	1	A masterpiece of modern cinema. The director did an incredible job with this one.
268	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
114	1	This exceeded all my expectations. A truly memorable cinematic experience from start to finish.
110	1	Great storytelling and amazing cinematography. This movie deserves all the awards it has received.
274	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
156	0	A mess of a movie that never finds its footing. Incoherent plot and amateur performances.
238	0	The worst film I have seen this decade. Laughably bad in every possible way.
74	1	Exceptional in every way. The music, the acting, the script - all perfect.
282	0	An insult to the audience's intelligence. Shallow, derivative, and deeply boring.
